# WARNING, assume that Grequest is in descending order
## Grequest	  Gtilt
1.64278760968657   0
1.62916808620627   1
1.61505230234479   2
1.60044455790666   3
1.58534930255234   4
1.56977113444283   5
1.55371479883906   6
1.53718518665639   7
1.52018733297482   8
1.50272641550524   9
1.48480775301225  10
1.46643680369405  11
1.44761916351974  12
1.42836056452483  13
1.40866687306512  14
1.38854408802982  15
1.36799833901417  16
1.34703588445236  17
1.32566310971111  18
1.30388652514467  19
1.28171276411163  20
1.25914858095441  21
1.23620084894178  22
1.21287655817523  23
1.18918281345965  24
1.16512683213922  25
1.14071594189888  26
1.11595757853228  27
1.09085928367673  28
1.06542870251599  29
1.03967358145141  30
1.01360176574239  31
0.98722119711654  32
0.96053991135062  33
0.93356603582274  34
0.90630778703669  35
0.87877346811911  36
0.85097146629028  37
0.82291025030926  38
0.79459836789429  39
0.76604444311901  40
0.73725717378552  41
0.70824532877493  42
0.67901774537626  43
0.64958332659456  44
0.61995103843892  45
0.59012990719137  46
0.56012901665738  47
0.52995750539882  48
0.49962456395030  49
0.46913943201963  50
0.43851139567332  51
0.40774978450792  52
0.37686396880820  53
0.34586335669282  54
0.31475739124854  55
0.28355554765376  56
0.25226733029230  57
0.22090226985827  58
0.18946992045291  59
0.15797985667434  60
0.12644167070104  61
0.09486496936998  62
0.06325937125028  63
0.03163450371328  64
0.00000000000000  65
